PromptID,BillID,PromptingStrategy,Prompt,Model
182,82-HR-2477,Persona Modification,"You are a knowledgeable political analyst. Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
183,82-HR-2477,Persona Modification,"Answer this question as if you are a political scientist that studies legislation in the United States Congress. Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
184,82-HR-2477,Persona Modification,"Answer this question as if you are an expert in United States politics. Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
185,82-HR-2477,Persona Modification,"Answer this question as if you were a helpful research assistant for a political scientist. Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
186,82-HR-2477,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Think carefully. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
187,82-HR-2477,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Let's think step by step. Lay out each step. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
188,82-HR-2477,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Please provide an explanation for your answer. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
189,82-HR-2477,Few-Shot Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""To provide for research relating to chlld life and development; to disseminate information as to the practical application of such research by parents, professional persons, and others; and for other purposes.""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",ft:gpt-3.5-turbo-0125:massachusetts-institute-of-technology:recipe-ner:9l4sPEat
190,97-HR-7117,No Modification,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
191,97-HR-7117,Persona Modification,"You are a knowledgeable political analyst. Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
192,97-HR-7117,Persona Modification,"Answer this question as if you are a political scientist that studies legislation in the United States Congress. Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
193,97-HR-7117,Persona Modification,"Answer this question as if you are an expert in United States politics. Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
194,97-HR-7117,Persona Modification,"Answer this question as if you were a helpful research assistant for a political scientist. Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
195,97-HR-7117,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Think carefully. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
196,97-HR-7117,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Let's think step by step. Lay out each step. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
197,97-HR-7117,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Please provide an explanation for your answer. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
198,97-HR-7117,Few-Shot Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to reform the use of the insanity defense in federal criminal cases, to ensure the admissibility of evidence when obtained by law enforcement authorities acting in good faith, and to define circumstances justifying federal intervention in State criminal proceedings..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",ft:gpt-3.5-turbo-0125:massachusetts-institute-of-technology:recipe-ner:9l4sPEat
199,93-HR-13232,No Modification,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
200,93-HR-13232,Persona Modification,"You are a knowledgeable political analyst. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
201,93-HR-13232,Persona Modification,"Answer this question as if you are a political scientist that studies legislation in the United States Congress. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
202,93-HR-13232,Persona Modification,"Answer this question as if you are an expert in United States politics. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
203,93-HR-13232,Persona Modification,"Answer this question as if you were a helpful research assistant for a political scientist. Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
204,93-HR-13232,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Think carefully. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
205,93-HR-13232,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Let's think step by step. Lay out each step. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
206,93-HR-13232,Chain-of-Thoughts Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Please provide an explanation for your answer. Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification,
    ""explanation"": a one-sentence explanation of your bill category answer
}",gpt-3.5-turbo
207,93-HR-13232,Few-Shot Prompting,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to amend title II of the Social Security Act to increase the amount of outside earnings which (subject to further increases under the automatic adjustment provisions) is permitted each year without any reductions from benefits thereunder, and to revise the method for determining such amount..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",ft:gpt-3.5-turbo-0125:massachusetts-institute-of-technology:recipe-ner:9l4sPEat
208,97-S-1641,No Modification,"Here is a description of a bill introduced in the U.S. Congress:
""A bill to extend the Reed Act and to authorize the designation of funds in State accounts as Reed Act funds in certain circumstances..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
209,97-S-1641,Persona Modification,"You are a knowledgeable political analyst. Here is a description of a bill introduced in the U.S. Congress:
""A bill to extend the Reed Act and to authorize the designation of funds in State accounts as Reed Act funds in certain circumstances..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
210,97-S-1641,Persona Modification,"Answer this question as if you are a political scientist that studies legislation in the United States Congress. Here is a description of a bill introduced in the U.S. Congress:
""A bill to extend the Reed Act and to authorize the designation of funds in State accounts as Reed Act funds in certain circumstances..""

Please classify this description into one of the following categories:
1. Macroeconomics
2. Civil Rights, Minority Issues, and Civil Liberties
3. Health
4. Agriculture
5. Labor and Employment
6. Education
7. Environment
8. Energy
9. Immigration
10. Transportation
11. Law, Crime, and Family Issues
12. Social Welfare
13. Community Development and Housing Issues
14. Banking, Finance, and Domestic Commerce
15. Defense
16. Space, Science, Technology, and Communications
17. Foreign Trade
18. International Affairs and Foreign Aid
19. Government Operations
20. Public Lands and Water Management
21. Arts and Entertainment

Output a JSON object structured like: {
    ""category"": an integer from 1 to 21 of the bill category,
    ""confidence"": a number from 0 to 1 with 2 decimal places of your confidence in your bill classification
}",gpt-3.5-turbo
